,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
51,52,Habilitado,SI,SI,NO,NO,,"CODO REDUCCION RHH  3/4"" a 1/2"" PP",COR3412,',',0,0,0,unidad,0.21,CAVALLFER,0,0,173.553719,214.69662225,,210.0,210,SI,SI,NO,0.0,0.0,,,
52,53,Habilitado,SI,SI,NO,NO,,"CODO REDUCCION RHH 1"" a 3/4"" PP",COR134,',',0,0,0,unidad,0.21,CAVALLFER,0,0,528.9256198,641.259828,,640.0,640,SI,SI,NO,0.0,0.0,,,
53,54,Habilitado,SI,SI,NO,NO,,"CODO RHH REFORZADA   1/2"" PP",COHH12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,74.38016529,93.3463575,,90.0,90,SI,SI,NO,0.0,0.0,,,
54,55,Habilitado,SI,SI,NO,NO,,"CODO RHH REFORZADA  3/4"" PP",COHH34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,123.9669421,147.737007,,150.0,150,SI,SI,NO,0.0,0.0,,,
55,56,Habilitado,SI,SI,NO,NO,,"CODO RHH REFORZADA 1"" PP",COHH1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,223.1404959,273.55244400000004,,270.0,270,SI,SI,NO,0.0,0.0,,,
56,57,Habilitado,SI,SI,NO,NO,,"CODO RMH REFORZADA   1/2"" PP",COMH12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,82.6446281,98.21582099999999,,100.0,100,SI,SI,NO,0.0,0.0,,,
57,58,Habilitado,SI,SI,NO,NO,,CODO RMH REFORZADA  3/4 PP,COMH34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,132.231405,157.475934,,160.0,160,SI,SI,NO,0.0,0.0,,,
58,59,Habilitado,SI,SI,NO,NO,,"CODO RMH REFORZADA 1"" PP",COMH1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,223.1404959,274.76531775,,270.0,270,SI,SI,NO,0.0,0.0,,,
59,60,Habilitado,SI,SI,NO,NO,,"CONEXION TANQUE COMPLETO   1/2"" PP",CTC12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,760.3305785,922.5207584999999,,920.0,920,SI,SI,NO,0.0,0.0,,,
60,61,Habilitado,SI,SI,NO,NO,,"CONEXION TANQUE COMPLETO  3/4"" PP",CTC34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,776.8595041,942.40290375,,940.0,940,SI,SI,NO,0.0,0.0,,,
61,62,Habilitado,SI,SI,NO,NO,,"CONEXION TANQUE COMPLETO 1"" PP",CTC1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,851.2396694,1031.29307325,,1030.0,1030,SI,SI,NO,0.0,0.0,,,
