,Unnamed: 0,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
149,,EM1,"ENCHUFE RM REFORZADO DE 1 """,145.05,#REF!,#REF!,#REF!
150,,TEED1,"TEE ENCHUFE ENCHUFE DOBLE 1""",387.57,#REF!,#REF!,#REF!
151,,TEED12,TEE ENCHUFE ENCHUFE DOBLE 1/2,253.76,#REF!,#REF!,#REF!
152,,TEED34,TEE ENCHUFE ENCHUFE DOBLE 3/4,274.11,#REF!,#REF!,#REF!
153,,TERH1,"TEE ENCHUFE ROSCA HEMBRA 1""",657.67,#REF!,#REF!,#REF!
154,,TERH12,TEE ENCHUFE ROSCA HEMBRA 1/2,406.98,#REF!,#REF!,#REF!
155,,TERH34,TEE ENCHUFE ROSCA HEMBRA 3/4,545.22,#REF!,#REF!,#REF!
156,,,,0.0,#REF!,#REF!,#REF!
157,,,ACCESORIOS DE POLIPROPILENO,0.0,#REF!,#REF!,#REF!
158,,BR3412,"BUJE REDUCCION  3/4"" a 1/2""",127.39,#REF!,#REF!,#REF!
159,,BR112,"BUJE REDUCCION 1"" a 1/2""",140.04,#REF!,#REF!,#REF!
160,,BR134,"BUJE REDUCCION 1"" a 3/4""",147.27,#REF!,#REF!,#REF!
161,,COR3412,"CODO REDUCCION RHH  3/4"" a 1/2""",238.97,#REF!,#REF!,#REF!
162,,COR134,"CODO REDUCCION RHH 1"" a 3/4""",713.76,#REF!,#REF!,#REF!
163,,COHH12,"CODO RHH REFORZADA   1/2""",103.9,#REF!,#REF!,#REF!
164,,COHH34,"CODO RHH REFORZADA  3/4""",164.44,#REF!,#REF!,#REF!
165,,COHH1,"CODO RHH REFORZADA 1""",304.48,#REF!,#REF!,#REF!
166,,COMH12,"CODO RMH REFORZADA   1/2""",109.32,#REF!,#REF!,#REF!
167,,COMH34,CODO RMH REFORZADA  3/4,175.28,#REF!,#REF!,#REF!
168,,COMH1,"CODO RMH REFORZADA 1""",305.83,#REF!,#REF!,#REF!
169,,CTC12,"CONEXION TANQUE COMPLETO   1/2""",1026.82,#REF!,#REF!,#REF!
170,,CTC34,"CONEXION TANQUE COMPLETO  3/4""",1048.95,#REF!,#REF!,#REF!
171,,CTC1,"CONEXION TANQUE COMPLETO 1""",1147.89,#REF!,#REF!,#REF!
172,,CU112,"CUPLA REDUCCION 1"" a 1/2""",390.31,#REF!,#REF!,#REF!
173,,CU134,"CUPLA REDUCCION 1"" a 3/4""",390.31,#REF!,#REF!,#REF!
174,,CU3412,"CUPLA REDUCCION 3/4"" a 1/2""",108.87,#REF!,#REF!,#REF!
175,,CU12,"CUPLA REFORZADA   1/2""",94.42,#REF!,#REF!,#REF!
176,,CU34,"CUPLA REFORZADA  3/4""",109.32,#REF!,#REF!,#REF!
177,,CU1,"CUPLA REFORZADA 1""",184.31,#REF!,#REF!,#REF!
178,,CHH4512,"CURVA RHH a 45     1/2""",420.58,#REF!,#REF!,#REF!
179,,CHH4534,"CURVA RHH a 45    3/4""",598.56,#REF!,#REF!,#REF!
180,,CHH451,"CURVA RHH a 45   1""",990.68,#REF!,#REF!,#REF!
181,,CHH9012,"CURVA RHH a 90     1/2""",420.58,#REF!,#REF!,#REF!
182,,CHH9034,"CURVA RHH a 90    3/4""",598.56,#REF!,#REF!,#REF!
183,,CHH901,"CURVA RHH a 90   1""",990.68,#REF!,#REF!,#REF!
184,,CMH4512,"CURVA RMH a 45     1/2""",420.58,#REF!,#REF!,#REF!
185,,CMH4534,"CURVA RMH a 45    3/4""",598.56,#REF!,#REF!,#REF!
186,,CMH451,"CURVA RMH a 45   1""",990.68,#REF!,#REF!,#REF!
187,,CMH9012,"CURVA RMH a 90     1/2""",420.58,#REF!,#REF!,#REF!
