,Unnamed: 0,Unnamed: 1,Unnamed: 2
214,,CONECTOR RH 3/4 1/2 P/ ACOPLE RAP 1/2 (RIE242),RIE242
215,,PISTOLA DE RIEGO 1 FUNCION,RIE1000
216,,PISTOLA DE RIEGO 4 FUNCIONES (RIE070),RIE070
217,,ADAPTADOR MULTIPLE 1/2 perno 8 mm (22),T25
218,,ADAPTADOR MULTIPLE 3/8 C/ BUJE 1/2 (22),T22
219,,BONETE CORDERITO 125 mm. ART. 085,AT085
220,,BONETE CORDERITO 200 mm. ART. 085/1,AT0851
221,,ESCOFINA CIRCULAR P/ REBAJAR 115 mm (250),T250
222,,RESPALDO P/ LIJAS Y BONETES 125 mm C/VELCRO,RPLCV
223,,"ACEITE LUBRICANTE "" TF3"" x 100 cc.",ALP
224,,"ACEITE BOMBEADOR x 1 lt. ""INSTAL-PROF""",ABO1
225,,"ADHESIVO ""UHU"" ALLPLAST x 33 ml.",UAP33
226,,"ADHESIVO ""UHU"" GOTITA x 3 gr. (x 12)",UUSM
227,,"ADHESIVO ""UHU"" MAX REPAIR",AUMR
228,,"ADHESIVO ""UHU"" UNIVERSAL x 20 ml.",UU20
229,,"ADHESIVO ""UHU"" UNIVERSAL x 33 ml.",UU33
230,,"ADHESIVO EN BARRA X 20  GRS."" UHU """,AEB20
231,,SILICONA LIQUIDA UHU x  35 ml.,SL35
232,,SILICONA LIQUIDA UHU x  95 ml.,SL95
233,,SILICONA LIQUIDA UHU x 200 ml.,SL200
234,,ADHESIVO PARA PVC   60 cc.,APS60
235,,ADHESIVO PARA PVC  110 cc.,APS100
236,,ADHESIVO PARA PVC  250 cc.,APS250
237,,ANTEOJO POLICARBONATO AMBAR MP5,APA
238,,ANTEOJO POLICARBONATO GRIS MP5,APG
239,,ANTEOJO POLICARBONATO TRANSPARENTE MP5,APT
240,,ANTIPARRA POLICARBONATO TRANSP. (10153),ANT
241,,ANTORCHITAS P/ CALEFON,ANTOR
242,,"ARQUITO P/ CALAR ""LA CALADORA"" C/ 10 HOJAS",ASLC
243,,ARO DESPLAZADO P/ BASE INOD 90/100/110 7 cm. HD04,ABDPG
244,,ARO DESPLAZADO PVC PARA BASE DE INODORO,ABDP
245,,ARO PVC PARA BASE DE INODORO,ABPVC
246,,CEPILLO LAVA AUTO METEORO,CLAV
247,,"PALA PLASTICA CON CABO ARTICULADO ""CONDOR""",PPCC
248,,BALDE PLASTICO ALBAÑIL REFORZADO,BPAR
249,,BANDEJA PARA PINTOR,BPB
250,,BANDEJA PARA PINTOR MINI,BPM
251,,BAQUETA CERDA 300 x 100 x 10,BC10
252,,BAQUETA CERDA 300 x 100 x 20,BC20
253,,BAQUETA CERDA 300 x 100 x 30,BC30
254,,BAQUETA CERDA LIMPIA BOMBILLA,BLBO
255,,BARRAL MADERA KIT 22 x 1.60,BM2216
256,,BARRAL MADERA KIT 22 x 1.80,BM2218
257,,BARRAL MADERA KIT 22 x 2.00,BM2220
258,,BARRAL MADERA KIT 22 x 2.20,BM2222
259,,BARRAL MADERA KIT 22 X 2.40,BM2224
260,,BARRAL MADERA KIT 33 x 1.60,BM3316
261,,BARRAL MADERA KIT 33 x 1.80,BM3318
262,,BARRAL MADERA KIT 33 x 2.00,BM3320
263,,BARRAL MADERA KIT 33 x 2.20,BM3322
264,,BARRAL MADERA KIT 33 x 2.40,BM3324
265,,BARRA PARA ENCOLADORA CHICA,PPRCH
266,,BARRA PARA ENCOLADORA GRANDE,PPRGR
267,,BARREHOJA METALICO ONZA 18D.,BHT
268,,BARREHOJA PLASTICO 25 dientes,BHP
269,,"BARREHOJAS PLASTICO ""SUPER""  55 cm. x 22 dientes",BPS
270,,BARRETA SACACLAVOS  40 cms.,BS40
271,,BARRETA SACACLAVOS  50 cms.,BS50
272,,BARRETA SACACLAVOS  60 cms.,BS60
273,,BARRETA SACACLAVOS  70 cms.,BS70
274,,BARRETA SACACLAVOS  80 cms.,BS80
275,,BARRETA SACACLAVOS 100 cms.,BS100
276,,BISAGRA MUNICION CARPINTERO  75 x 75 AZUL,BMC7575
277,,BISAGRA MUNICION CARPINTERO 100 x 75 AZUL,BMC10075
278,,BISAGRA MUNICION CARPINTERO 100 x 88 AZUL,BMC10088
279,,BISAGRA MUNICION MIXTA 100 x 75 1221,BMM10075
280,,BISAGRA MUNICION MIXTA 100 x 88 1241,BMM10088
