,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,0.45,DESCUENTO,,,,
1,,,MARGEN,,,,
2,,,,,,,
3,,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
118,,TRM14,TETON RM 1/4,433.65,195.14249999999998,236.12242499999996,389.60200124999994
119,,TRM38,TETON RM 3/8,557.1,250.69500000000002,303.34095,500.5125675
120,,TB12,TUERCA AJUSTE 1/2,552.55,248.64749999999998,300.863475,496.42473375
121,,TB14,TUERCA AJUSTE 1/4,212.27,95.5215,115.581015,190.70867474999997
122,,TB38,TUERCA AJUSTE 3/8,225.19,101.3355,122.61595499999999,202.31632574999998
123,,UMG,UNION MANGUERA GAS,456.41,205.3845,248.515245,410.05015425
124,,,,0,0,0,0
125,,,ACCESORIOS DE POLIETILENO,0,0,0,0
126,,CEED1,"CODO ENCHUFE ENCHUFE DOBLE DE 1""",254.73,114.6285,138.700485,228.85580024999996
127,,CEED12,CODO ENCHUFE ENCHUFE DOBLE DE 1/2,83.72,37.674,45.585539999999995,75.216141
128,,CEED34,CODO ENCHUFE ENCHUFE DOBLE DE 3/4,187.29,84.2805,101.979405,168.26601825
129,,CERH1,"CODO ENCHUFE ROSCA HEMBRA DE 1""",345.58,155.511,188.16831,310.47771149999994
130,,CERH12,CODO ENCHUFE ROSCA HEMBRA DE 1/2,127.49,57.3705,69.418305,114.54020325
131,,CERH34,CODO ENCHUFE ROSCA HEMBRA DE 3/4,208.92,94.014,113.75693999999999,187.69895099999997
132,,EDR3412,ENCHUFE DOBLE REDUCC. REF. 3/4 A 1/2,111.71,50.2695,60.826095,100.36305675
133,,EDR134,ENCHUFE DOBLE REDUCCION 1- 3/4,183.48,82.566,99.90486,164.843019
134,,EDR112,"ENCHUFE DOBLE REDUCCION 1""-1/2",180.93,81.41850000000001,98.51638500000001,162.55203525000002
135,,ED1,"ENCHUFE DOBLE REF.  1""",100.01,45.0045,54.455445,89.85148424999998
136,,ED12,"ENCHUFE DOBLE REF. 1/2""",54.97,24.7365,29.931165,49.386422249999995
137,,ED34,"ENCHUFE DOBLE REF. 3/4""",65.4,29.430000000000003,35.6103,58.756995
138,,ERH112,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 1/2,243.53,109.5885,132.602085,218.79344024999997
139,,ERH134,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 3/4,243.53,109.5885,132.602085,218.79344024999997
140,,ERH1234,ENCHUFE REDUCCION ROSCA HEMBRA 1/2 - 3/4,226.74,102.033,123.45993,203.70888449999998
141,,ERH341,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1,243.53,109.5885,132.602085,218.79344024999997
142,,ERH3412,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1/2,208.92,94.014,113.75693999999999,187.69895099999997
143,,ERM112,"ENCHUFE REDUCCION ROSCA MACHO  1"" - 1/2",151.41,68.1345,82.442745,136.03052925
144,,ERM134,"ENCHUFE REDUCCION ROSCA MACHO 1"" - 3/4",151.41,68.1345,82.442745,136.03052925
145,,ERM1234,ENCHUFE REDUCCION ROSCA MACHO 1/2 - 3/4,119.86,53.937,65.26377,107.68522049999999
146,,ERM341,"ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1""",151.41,68.1345,82.442745,136.03052925
147,,ERM3412,ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1/2,119.86,53.937,65.26377,107.68522049999999
148,,ERH1,"ENCHUFE RH REFORZADA DE 1""",229.03,103.0635,124.706835,205.76627774999997
149,,ERH12,ENCHUFE RH REFORZADO 1/2,147.6,66.42,80.3682,132.60753
150,,ERH34,ENCHUFE RH REFORZADO 3/4,174.82,78.669,95.18948999999999,157.06265849999997
151,,EM12,ENCHUFE RM REFORZADA DE 1/2,54.97,24.7365,29.931165,49.386422249999995
152,,EM34,ENCHUFE RM REFORZADA DE 3/4,65.4,29.430000000000003,35.6103,58.756995
153,,EM1,"ENCHUFE RM REFORZADO DE 1 """,145.05,65.27250000000001,78.979725,130.31654625
154,,TEED1,"TEE ENCHUFE ENCHUFE DOBLE 1""",387.57,174.4065,211.03186499999998,348.20257724999993
155,,TEED12,TEE ENCHUFE ENCHUFE DOBLE 1/2,253.76,114.192,138.17231999999998,227.98432799999998
156,,TEED34,TEE ENCHUFE ENCHUFE DOBLE 3/4,274.11,123.3495,149.252895,246.26727674999998
157,,TERH1,"TEE ENCHUFE ROSCA HEMBRA 1""",657.67,295.9515,358.101315,590.86716975
158,,TERH12,TEE ENCHUFE ROSCA HEMBRA 1/2,406.98,183.14100000000002,221.60061000000002,365.6410065
